PPFS Benchmark Report
Generated at: 2026-03-26T13:09:53

Timing Summary
Dataset | Spearman Preprocess (s) | Enc Spearman Compute (s) | MI Preprocess (s) | Enc MI Compute (s)
--------+-------------------------+--------------------------+-------------------+-------------------
divorce | 857.735                 | 28.195                   | 2100.743          | 136.428           

=== Dataset: divorce ===
Dataset: divorce
Parties: 14
Threshold: 2
Rows: 170
Columns: 55
Target Column: Class

Target Feature (Spearman): Atr53
Feature                  Plain                 Encrypted
Atr1                     0.5941051576847778    0.5941051576847785
Atr2                     0.5972541339154553    0.5972541339154557
Atr3                     0.5858947523971411    0.585894752397141
Atr4                     0.5837864694519499    0.5837864694519501
Atr5                     0.7014687579880123    0.7014687579880123
Atr6                     0.35101413105155643   0.35101413105155665
Atr7                     0.5032556475654844    0.5032556475654848
Atr8                     0.7012915735412883    0.7012915735412886
Atr9                     0.6839461337586568    0.6839461337586573
Atr10                    0.5822066670943951    0.5822066670943951
Atr11                    0.6694225276443897    0.66942252764439
Atr12                    0.5949376850377176    0.594937685037718
Atr13                    0.6682345163489516    0.6682345163489521
Atr14                    0.6231130605336227    0.6231130605336227
Atr15                    0.6122274231757515    0.6122274231757515
Atr16                    0.6083106545908475    0.6083106545908478
Atr17                    0.6628681626106718    0.6628681626106724
Atr18                    0.6470041691305437    0.6470041691305436
Atr19                    0.6685027328695807    0.6685027328695812
Atr20                    0.6754110517518294    0.6754110517518295
Atr21                    0.6918382871883862    0.6918382871883868
Atr22                    0.7013143073970303    0.7013143073970304
Atr23                    0.7153344594543866    0.7153344594543869
Atr24                    0.6803954559464729    0.6803954559464732
Atr25                    0.6330001051467342    0.6330001051467342
Atr26                    0.6066124087024022    0.6066124087024023
Atr27                    0.6558611457130225    0.6558611457130223
Atr28                    0.6573431072310351    0.6573431072310352
Atr29                    0.6982334991227382    0.6982334991227385
Atr30                    0.6727792978952164    0.6727792978952162
Atr31                    0.6740592624421268    0.674059262442127
Atr32                    0.7325574072073278    0.7325574072073279
Atr33                    0.7385711886374743    0.7385711886374747
Atr34                    0.7452030808057054    0.7452030808057055
Atr35                    0.759206428171977     0.7592064281719773
Atr36                    0.7899616065510024    0.7899616065510027
Atr37                    0.7187590006657899    0.7187590006657905
Atr38                    0.7063688655712405    0.7063688655712406
Atr39                    0.6642637079271722    0.6642637079271723
Atr40                    0.7093113023114869    0.7093113023114873
Atr41                    0.6908959213460666    0.6908959213460666
Atr42                    0.5976887435981101    0.5976887435981099
Atr43                    0.45068049078572725   0.45068049078572764
Atr44                    0.6308430262948737    0.6308430262948734
Atr45                    0.4367087118816225    0.43670871188162275
Atr46                    0.567764318003387     0.5677643180033871
Atr47                    0.6215518340708978    0.621551834070898
Atr48                    0.6813898820284703    0.6813898820284702
Atr49                    0.5695800340021197    0.5695800340021201
Atr50                    0.6265150905179251    0.6265150905179253
Atr51                    0.6831088357823428    0.6831088357823435
Atr52                    0.7966821249494713    0.7966821249494714
Atr54                    0.7740221896070691    0.7740221896070697

Mutual Information (target=Class)
Feature                  Plain                 Encrypted
Atr1                     0.7146404119892644    0.7146404119892644
Atr2                     0.6675454925894916    0.6675454925894916
Atr3                     0.6282005817219898    0.6282005817219898
Atr4                     0.7540769581374633    0.7540769581374633
Atr5                     0.7936888468200687    0.7936888468200687
Atr6                     0.18833162810124934   0.18833162810124934
Atr7                     0.4111502586698247    0.4111502586698247
Atr8                     0.7568046353543121    0.7568046353543121
Atr9                     0.8545250409885223    0.8545250409885223
Atr10                    0.7156119873779774    0.7156119873779774
Atr11                    0.8683259664958936    0.8683259664958936
Atr12                    0.8012507598390323    0.8012507598390323
Atr13                    0.7191024799998195    0.7191024799998195
Atr14                    0.782619031157236     0.782619031157236
Atr15                    0.8232457763786544    0.8232457763786544
Atr16                    0.8369433582894726    0.8369433582894726
Atr17                    0.8821332759002032    0.8821332759002032
Atr18                    0.9119202337764919    0.9119202337764919
Atr19                    0.8715162208748425    0.8715162208748425
Atr20                    0.8970583419905924    0.8970583419905924
Atr21                    0.7635725585977302    0.7635725585977302
Atr22                    0.7171071632650696    0.7171071632650696
Atr23                    0.6728623609097935    0.6728623609097935
Atr24                    0.6952551608582921    0.6952551608582921
Atr25                    0.78586560161242      0.78586560161242
Atr26                    0.8223217385135038    0.8223217385135038
Atr27                    0.7762021333803308    0.7762021333803308
Atr28                    0.7640020133642323    0.7640020133642323
Atr29                    0.8175021247292933    0.8175021247292933
Atr30                    0.804450262396018     0.804450262396018
Atr31                    0.6502637618184189    0.6502637618184189
Atr32                    0.6543432055655586    0.6543432055655586
Atr33                    0.683492878037653     0.683492878037653
Atr34                    0.6535979376000857    0.6535979376000857
Atr35                    0.7085200256576534    0.7085200256576534
Atr36                    0.7883899709133648    0.7883899709133648
Atr37                    0.7202243541032892    0.7202243541032892
Atr38                    0.7498245303195634    0.7498245303195634
Atr39                    0.8004065474769667    0.8004065474769667
Atr40                    0.8899665045848154    0.8899665045848154
Atr41                    0.7841143818758946    0.7841143818758946
Atr42                    0.5094573847962637    0.5094573847962637
Atr43                    0.3007334910576319    0.3007334910576319
Atr44                    0.7160157262608601    0.7160157262608601
Atr45                    0.25726699601902403   0.25726699601902403
Atr46                    0.16969289811749377   0.16969289811749377
Atr47                    0.35685311308807816   0.35685311308807816
Atr48                    0.37784223057428284   0.37784223057428284
Atr49                    0.4986118084251706    0.4986118084251706
Atr50                    0.5562412233268622    0.5562412233268622
Atr51                    0.48383191208804893   0.48383191208804893
Atr52                    0.3773745157134334    0.3773745157134334
Atr53                    0.45644400554127124   0.45644400554127124
Atr54                    0.6143449086113346    0.6143449086113346
